Name;Brand;Release Year;Top Notes;Heart Notes;Base Notes;Scent Family;Gender;Longevity;Use Case;Mood;Seasonality;Product URL
Creed Aventus;Creed;2010;Pineapple; Birch; Musk;Woody;Men;Long;Special occasions;Confident;Fall/Winter;https://www.notino.de/creed/aventus-eau-de-parfum-fur-herren/
Dior Sauvage;Dior;2015;Bergamot; Lavender; Ambroxan;Fougere;Men;Long;Everyday wear;Fresh;Summer;https://www.notino.de/dior/sauvage-eau-de-toilette-fur-herren/
Bleu de Chanel;Chanel;2010;Lemon; Ginger; Sandalwood;Woody Aromatic;Men;Moderate;Work/Office;Modern;All seasons;https://www.notino.de/chanel/bleu-de-chanel-eau-de-parfum-fur-herren/
Tom Ford Noir;T. Ford;2012;Pepper; Nutmeg; Vanilla;Oriental Spicy;Men;Moderate;Evening;Daring;Fall/Winter;https://www.notino.de/tom-ford/noir-eau-de-parfum-fur-herren/
Acqua di Gio Profumo;Armani;2015;Bergamot; Incense; Patchouli;Aquatic Aromatic;Men;Long;Daytime Sophistication;Calm;Spring/Summer;https://www.notino.de/giorgio-armani/acqua-di-gio-profumo/
Y EDP;YSL;2018;Apple; Sage; Tonka Bean;Fougere;Men;Long;Work/Clubbing;Ambitious;All seasons;https://www.notino.de/yves-saint-laurent/y-eau-de-parfum/
Terre d’Hermès;Hermès;2006;Orange; Pepper; Vetiver;Woody Spicy;Men;Long;Business/Formal;Grounded;Fall;https://www.notino.de/hermes/terre-dhermes/
Le Male;Jean Paul Gaultier;1995;Lavender; Cinnamon; Vanilla;Oriental Fougere;Men;Moderate;Night out;Playful;Winter;https://www.notino.de/jean-paul-gaultier/le-male/
1 Million;Paco Rabanne;2008;Grapefruit; Cinnamon; Leather;Woody Spicy;Men;Long;Club/Party;Flashy;Fall/Winter;https://www.notino.de/paco-rabanne/1-million/
L’Homme;YSL;2006;Ginger; Violet; Cedar;Woody Floral;Men;Moderate;Date Night;Smooth;Spring/Fall;https://www.notino.de/yves-saint-laurent/lhomme/
Invictus;Paco Rabanne;2013;Sea notes; Jasmine; Ambergris;Fresh Aquatic;Men;Moderate;Gym/Casual;Energetic;Summer;https://www.notino.de/paco-rabanne/invictus/
Ultra Male;JPG;2015;Pear; Cinnamon; Vanilla;Oriental Fougere;Men;Long;Night Out;Bold;Fall/Winter;https://www.notino.de/jean-paul-gaultier/ultra-male/
Spicebomb;Viktor&Rolf;2012;Pepper; Saffron; Tobacco;Spicy;Men;Moderate;Evening/Party;Explosive;Fall/Winter;https://www.notino.de/viktor-rolf/spicebomb/
Dior Homme Intense;Dior;2011;Iris; Ambrette; Vetiver;Floral Woody;Men;Long;Formal/Night;Romantic;Winter;https://www.notino.de/dior/homme-intense/
Armani Code Absolu;Armani;2019;Green Mandarin; Nutmeg; Tonka Bean;Oriental;Men;Long;Evening/Date;Charming;Winter;https://www.notino.de/giorgio-armani/code-absolu/
Eros;Versace;2012;Mint; Tonka Bean; Vanilla;Oriental Fougere;Men;Long;Club/Dating;Passionate;Fall/Winter;https://www.notino.de/versace/eros/
The One EDP;Dolce & Gabbana;2015;Grapefruit; Cardamom; Tobacco;Woody Spicy;Men;Moderate;Date Night;Charismatic;Fall/Winter;https://www.notino.de/dolce-gabbana/the-one/
Luna Rossa Carbon;Prada;2017;Bergamot; Lavender; Ambroxan;Fougere;Men;Moderate;Daily/Gym;Fresh;Cool seasons;https://www.notino.de/prada/luna-rossa-carbon/
Stronger With You;Emporio Armani;2017;Chestnut; Sage; Vanilla;Woody Aromatic;Men;Moderate;Romantic/Casual;Cozy;Autumn;https://www.notino.de/emporio-armani/stronger-with-you/
Explorer;Montblanc;2019;Pink Pepper; Vetiver; Patchouli;Woody Aromatic;Men;Moderate;Work/Daytime;Adventurous;Spring/Fall;https://www.notino.de/montblanc/explorer/
